applicant_id,name,domain,university,application_date,status
APP0333,Precious Udo,Cyber Security,Babcock University,2025-01-17,Selected
APP0334,Amina Johnson,Cyber Security,University of Ibadan,2025-01-10,Selected
APP0335,Samuel Osei,UI/UX Design,"Federal University of Technology, Akure",2025-02-12,Selected
APP0336,Ibrahim Udo,Artificial Intelligence,Ahmadu Bello University,2025-02-08,Selected
APP0337,David Ibrahim,UI/UX Design,"University of Nigeria, Nsukka",2025-02-22,Under Review
APP0338,Chinedu Olawale,Web Development,University of Lagos,2025-02-17,Selected
APP0339,Oluwatobi Eze,UI/UX Design,University of Ibadan,2025-01-09,Rejected
APP0340,Ibrahim Okeke,Mobile App Development,Babcock University,2025-02-06,Rejected
APP0341,Joy Williams,Artificial Intelligence,Lagos State University,2025-02-19,Selected
APP0342,Michael Okeke,Cyber Security,"Federal University of Technology, Akure",2025-02-25,Selected
APP0343,Samuel Nwosu,Data Science,University of Lagos,2025-01-10,Selected
APP0344,Oluwatobi Okafor,Mobile App Development,University of Lagos,2025-02-27,Under Review
APP0345,Samuel Olawale,Web Development,"University of Nigeria, Nsukka",2025-01-27,Rejected
APP0346,Amina Adeyemi,Mobile App Development,"University of Nigeria, Nsukka",2025-02-20,Rejected
APP0347,David Okafor,UI/UX Design,Covenant University,2025-01-06,Selected
APP0348,Kelechi Bello,Data Science,"Federal University of Technology, Akure",2025-01-08,Selected
APP0349,Adaeze Johnson,Mobile App Development,Covenant University,2025-02-13,Selected
APP0350,Samuel Bello,Artificial Intelligence,Covenant University,2025-01-09,Selected
APP0351,Ngozi Okafor,Data Science,"University of Nigeria, Nsukka",2025-01-30,Selected
APP0352,David Olawale,Mobile App Development,Babcock University,2025-02-22,Rejected
APP0353,Fatima Bello,Artificial Intelligence,University of Ibadan,2025-01-28,Selected
APP0354,Amina Ibrahim,Web Development,Covenant University,2025-02-10,Rejected
APP0355,Amina Okafor,UI/UX Design,Babcock University,2025-01-21,Under Review
APP0356,Michael Ibrahim,Cyber Security,Lagos State University,2025-02-15,Selected
APP0357,Precious Udo,UI/UX Design,Babcock University,2025-01-12,Selected
APP0358,Ngozi Okafor,Cyber Security,"University of Nigeria, Nsukka",2025-02-04,Selected
APP0359,Adaeze Okeke,UI/UX Design,"University of Nigeria, Nsukka",2025-02-13,Rejected
APP0360,Precious Olawale,Data Science,Babcock University,2025-02-02,Rejected
APP0361,Fatima Okeke,Cyber Security,"University of Nigeria, Nsukka",2025-01-26,Under Review
APP0362,Samuel Bello,UI/UX Design,"Federal University of Technology, Akure",2025-02-20,Selected
APP0363,Adaeze Olawale,Mobile App Development,Covenant University,2025-01-19,Selected
APP0364,Oluwatobi Adeyemi,Mobile App Development,"University of Nigeria, Nsukka",2025-01-16,Selected
APP0365,Precious Chukwu,Web Development,"University of Nigeria, Nsukka",2025-02-17,Selected
APP0366,Chinedu Udo,UI/UX Design,Covenant University,2025-01-23,Selected
APP0367,Adaeze Williams,Data Science,Lagos State University,2025-02-03,Selected
APP0368,Joy Osei,Web Development,Covenant University,2025-02-09,Selected
APP0369,Mariam Bello,UI/UX Design,"Federal University of Technology, Akure",2025-02-27,Selected
APP0370,Kelechi Nwosu,Artificial Intelligence,"Federal University of Technology, Akure",2025-02-14,Rejected
APP0371,Samuel Mohammed,Artificial Intelligence,"University of Nigeria, Nsukka",2025-01-18,Under Review
APP0372,Oluwatobi Nwosu,Web Development,"Federal University of Technology, Akure",2025-02-23,Selected
APP0373,Amina Udo,Data Science,"Federal University of Technology, Akure",2025-02-03,Rejected
APP0374,Yusuf Eze,Web Development,"University of Nigeria, Nsukka",2025-02-19,Selected
APP0375,Michael Bello,Cyber Security,University of Ibadan,2025-01-06,Selected
APP0376,Mariam Okeke,Cyber Security,Babcock University,2025-02-27,Rejected
APP0377,Ibrahim Olawale,Web Development,Lagos State University,2025-02-23,Rejected
APP0378,Sarah Bello,Mobile App Development,"Federal University of Technology, Akure",2025-02-08,Rejected
APP0379,Mariam Osei,Web Development,Covenant University,2025-02-06,Rejected
APP0380,Oluwatobi Okeke,Mobile App Development,Babcock University,2025-02-01,Selected
APP0381,Oluwatobi Olawale,Data Science,Ahmadu Bello University,2025-02-21,Under Review
APP0382,Samuel Williams,Artificial Intelligence,Lagos State University,2025-02-07,Selected
APP0383,Chinedu Osei,Cyber Security,"University of Nigeria, Nsukka",2025-02-24,Selected
APP0384,Sarah Bello,Mobile App Development,Lagos State University,2025-01-22,Rejected
APP0385,Joy Peter,Web Development,"University of Nigeria, Nsukka",2025-01-08,Under Review
APP0386,Fatima Adeyemi,Artificial Intelligence,Covenant University,2025-02-03,Selected
APP0387,Fatima Afolabi,Cyber Security,Babcock University,2025-02-04,Selected
APP0388,Ngozi Afolabi,Mobile App Development,Lagos State University,2025-02-04,Rejected
APP0389,Ngozi Okafor,Data Science,Lagos State University,2025-02-12,Selected
APP0390,David Osei,UI/UX Design,University of Ibadan,2025-02-14,Selected
APP0391,Joy Eze,Mobile App Development,Covenant University,2025-02-05,Under Review
APP0392,Mariam Okeke,Artificial Intelligence,"University of Nigeria, Nsukka",2025-01-19,Selected
APP0393,David Chukwu,Data Science,Ahmadu Bello University,2025-02-06,Rejected
APP0394,Sarah Johnson,Mobile App Development,"Federal University of Technology, Akure",2025-02-05,Rejected
APP0395,Michael Williams,Artificial Intelligence,"University of Nigeria, Nsukka",2025-02-04,Selected
APP0396,Kelechi Bello,Cyber Security,"University of Nigeria, Nsukka",2025-01-29,Selected
APP0397,Yusuf Williams,Artificial Intelligence,Ahmadu Bello University,2025-01-17,Rejected
APP0398,Mariam Nwosu,Artificial Intelligence,"University of Nigeria, Nsukka",2025-01-20,Under Review
APP0399,Samuel Nwosu,Cyber Security,University of Ibadan,2025-01-25,Under Review
APP0400,Joy Chukwu,Data Science,Ahmadu Bello University,2025-01-18,Selected
APP0401,Chinedu Johnson,UI/UX Design,Covenant University,2025-02-15,Selected
APP0402,Ngozi Williams,Data Science,"University of Nigeria, Nsukka",2025-01-10,Rejected
APP0403,Ngozi Osei,Mobile App Development,University of Ibadan,2025-02-16,Rejected
APP0404,Fatima Olawale,Web Development,University of Ibadan,2025-01-07,Under Review
APP0405,Michael Eze,Mobile App Development,Babcock University,2025-01-10,Selected
APP0406,Precious Ibrahim,Mobile App Development,Babcock University,2025-02-09,Selected
APP0407,Amina Ibrahim,Mobile App Development,Covenant University,2025-01-09,Under Review
APP0408,Oluwatobi Eze,UI/UX Design,"Federal University of Technology, Akure",2025-01-28,Rejected
APP0409,Michael Peter,Artificial Intelligence,Babcock University,2025-01-28,Selected
APP0410,Kelechi Afolabi,Artificial Intelligence,University of Lagos,2025-02-03,Selected
APP0411,Precious Okeke,Data Science,Babcock University,2025-02-03,Rejected
APP0412,Ibrahim Johnson,Data Science,Ahmadu Bello University,2025-01-09,Under Review
APP0413,Ibrahim Eze,Mobile App Development,Babcock University,2025-01-22,Rejected
APP0414,Amina Ibrahim,Cyber Security,Ahmadu Bello University,2025-02-07,Under Review
APP0415,Joy Adeyemi,Data Science,University of Lagos,2025-02-19,Selected
APP0416,Fatima Eze,Mobile App Development,Babcock University,2025-01-26,Selected
APP0417,Ngozi Okafor,UI/UX Design,Ahmadu Bello University,2025-02-25,Selected
APP0418,Yusuf Nwosu,Data Science,Babcock University,2025-01-11,Rejected
APP0419,Ngozi Olawale,UI/UX Design,Ahmadu Bello University,2025-02-22,Rejected
APP0420,Ibrahim Bello,Mobile App Development,University of Lagos,2025-02-23,Rejected
